order_id,order_date,customer_id,customer_name,email,customer_segment,region,state,city,signup_date,product_id,category,product_name,quantity,unit_price,discount_pct,sales_amount,cost_amount,profit_amount,payment_method,sales_channel,order_status
ORD-006801,2023-01-03,CUST-00028,Charles Jackson,robert71@example.com,Consumer,Midwest,Ohio,Sherylfort,2020-12-30,PROD-003,Electronics,Wireless Headphones,1,119.45,0.15,101.53,79.78,21.75,Credit Card,Online,Completed
ORD-007382,2023-01-03,CUST-00996,Rebecca Davis,kenneththomas@example.com,Corporate,Midwest,Minnesota,Lorraineshire,2022-09-29,PROD-003,Electronics,Wireless Headphones,2,129.32,0.0,258.64,169.19,89.45,Credit Card,Store,Completed
ORD-008899,2023-01-03,CUST-00623,Patrick Kelley,christopher86@example.net,Consumer,Midwest,Illinois,Port Dennis,2021-01-03,PROD-002,Electronics,Smartphone,1,702.09,0.0,702.09,371.67,330.42,PayPal,Store,Completed
ORD-009736,2023-01-03,CUST-01623,Miss Sheri Yoder MD,fitzgeraldkenneth@example.net,Home Office,West,California,West Francis,2020-04-26,PROD-006,Home & Kitchen,Desk Lamp,1,36.51,0.0,36.51,17.73,18.78,Debit Card,Online,Completed
ORD-009881,2023-01-03,CUST-00842,Jamie Johnson,swatson@example.org,Home Office,West,Oregon,South Maryburgh,2021-09-03,PROD-002,Electronics,Smartphone,1,724.17,0.1,651.75,428.82,222.93,PayPal,Online,Completed
ORD-002255,2023-01-04,CUST-02067,Clayton Steele,ibarnes@example.net,Consumer,Northeast,New York,Hendersonfort,2021-05-27,PROD-012,Sports & Outdoors,Yoga Mat,1,31.25,0.0,31.25,18.74,12.51,Credit Card,Online,Completed
ORD-002413,2023-01-04,CUST-00480,Brandi Brown,cassandra18@example.net,Consumer,Northeast,New Jersey,Danielport,2021-12-27,PROD-004,Home & Kitchen,Coffee Maker,1,90.29,0.0,90.29,62.09,28.2,Debit Card,Online,Completed
ORD-002635,2023-01-04,CUST-00316,Melissa Mitchell,kwilliams@example.org,Consumer,South,Texas,Lake Jeffrey,2021-03-26,PROD-005,Home & Kitchen,Air Fryer,2,108.68,0.0,217.36,132.03,85.33,PayPal,Online,Completed
ORD-002920,2023-01-04,CUST-00671,Jeremy Berry,gatessergio@example.org,Corporate,South,Georgia,Mcgeetown,2020-07-29,PROD-007,Clothing,Men's T-Shirt,3,23.05,0.0,69.15,47.36,21.79,Credit Card,Online,Completed
ORD-003350,2023-01-04,CUST-00648,Amanda Hodge,johnsonjohn@example.com,Consumer,South,Texas,South James,2021-10-11,PROD-003,Electronics,Wireless Headphones,2,117.12,0.1,210.82,131.35,79.47,PayPal,Store,Completed
ORD-003629,2023-01-04,CUST-00149,Deborah Stewart,elizabethrobertson@example.com,Home Office,Midwest,Illinois,West Tammieville,2021-11-26,PROD-007,Clothing,Men's T-Shirt,2,22.9,0.1,41.22,28.15,13.07,Credit Card,Online,Completed
ORD-004167,2023-01-04,CUST-02243,Victor Vaughn,rodneynolan@example.com,Corporate,West,California,Dawnberg,2021-11-19,PROD-001,Electronics,Laptop,4,908.23,0.15,3087.98,2296.84,791.14,Credit Card,Store,Completed
ORD-004516,2023-01-04,CUST-00263,Michael Wells,tara92@example.net,Consumer,South,North Carolina,Morganville,2020-08-11,PROD-002,Electronics,Smartphone,2,683.21,0.0,1366.42,925.04,441.38,Gift Card,Online,Completed
ORD-004793,2023-01-04,CUST-00818,Mr. Mark Simmons,evelyncampbell@example.com,Home Office,South,North Carolina,Cruzfort,2021-04-09,PROD-002,Electronics,Smartphone,1,698.05,0.0,698.05,339.32,358.73,Credit Card,Online,Completed
ORD-005022,2023-01-04,CUST-00164,Rachel Gardner,christopherryan@example.net,Consumer,South,Georgia,New Patrick,2021-09-30,PROD-009,Clothing,Running Shoes,2,88.88,0.05,168.87,108.87,60.0,Credit Card,Online,Completed
ORD-006070,2023-01-04,CUST-00089,Beverly Singleton,samantharoberts@example.org,Home Office,South,Florida,Port Lisa,2022-09-07,PROD-001,Electronics,Laptop,1,855.44,0.0,855.44,610.22,245.22,Credit Card,Store,Completed
ORD-006133,2023-01-04,CUST-00663,James Ellis,crystalcantrell@example.org,Home Office,Midwest,Ohio,Davidshire,2022-07-09,PROD-008,Clothing,Women's Jeans,2,54.77,0.0,109.54,54.57,54.97,PayPal,Online,Completed
ORD-008498,2023-01-04,CUST-00133,Isaac Lee,mark54@example.net,Consumer,Northeast,New Jersey,New Joshuaview,2020-09-16,PROD-011,Beauty,Electric Toothbrush,5,71.03,0.2,284.12,199.13,84.99,Credit Card,Store,Completed
ORD-009851,2023-01-04,CUST-02459,Michele Perkins,laura15@example.org,Consumer,West,California,Parkermouth,2020-07-18,PROD-002,Electronics,Smartphone,1,652.95,0.05,620.3,410.16,210.14,Debit Card,Online,Completed
ORD-001401,2023-01-05,CUST-00743,Matthew Fernandez,novaksara@example.org,Corporate,Northeast,New York,South Todd,2020-07-30,PROD-004,Home & Kitchen,Coffee Maker,1,82.61,0.0,82.61,47.7,34.91,Credit Card,Store,Completed
ORD-001581,2023-01-05,CUST-01467,Michelle Parker,ashleytorres@example.net,Consumer,South,Georgia,Nunezberg,2022-06-21,PROD-010,Beauty,Skin Care Set,5,48.05,0.0,240.25,145.54,94.71,Credit Card,Store,Completed
ORD-003501,2023-01-05,CUST-02019,Natalie Smith,jamesroberts@example.com,Consumer,South,Georgia,Wileytown,2020-09-18,PROD-004,Home & Kitchen,Coffee Maker,1,90.92,0.0,90.92,46.54,44.38,Credit Card,Online,Completed
ORD-004367,2023-01-05,CUST-01546,Elizabeth Arellano,kathrynsantana@example.net,Consumer,West,Washington,South Ronaldview,2021-02-09,PROD-004,Home & Kitchen,Coffee Maker,3,89.28,0.1,241.06,149.55,91.51,Gift Card,Online,Completed
ORD-004725,2023-01-05,CUST-01639,Paul Stevens,yharrison@example.net,Corporate,West,Oregon,Thomaschester,2020-07-11,PROD-001,Electronics,Laptop,2,922.13,0.0,1844.26,990.27,853.99,Debit Card,Online,Completed
ORD-005209,2023-01-05,CUST-02085,Caitlyn Martinez,alejandra39@example.com,Corporate,West,Oregon,Samueltown,2021-10-30,PROD-001,Electronics,Laptop,1,810.72,0.05,770.18,415.31,354.87,Credit Card,Online,Completed
ORD-005595,2023-01-05,CUST-02202,Kara Fisher,carterbryan@example.org,Consumer,Northeast,Pennsylvania,Robertmouth,2020-08-04,PROD-006,Home & Kitchen,Desk Lamp,2,40.99,0.15,69.68,46.16,23.52,PayPal,Store,Completed
ORD-006062,2023-01-05,CUST-02047,Kelsey Stout,jamiefox@example.net,Consumer,Midwest,Illinois,Brownside,2020-01-13,PROD-003,Electronics,Wireless Headphones,3,123.9,0.05,353.12,213.27,139.85,Credit Card,Online,Completed
ORD-006207,2023-01-05,CUST-00445,Alan Rivera,whitneybrandy@example.net,Consumer,Midwest,Michigan,New Thomasshire,2022-05-17,PROD-003,Electronics,Wireless Headphones,2,132.66,0.0,265.32,183.78,81.54,Credit Card,Online,Completed
ORD-007274,2023-01-05,CUST-01587,Jenny Vargas,ballnicole@example.com,Corporate,Midwest,Illinois,East Laurenfurt,2022-07-19,PROD-002,Electronics,Smartphone,1,702.33,0.15,596.98,410.68,186.3,PayPal,Store,Completed
ORD-008702,2023-01-05,CUST-01677,Greg Brock,shannon05@example.org,Consumer,South,Georgia,East Amy,2022-10-19,PROD-005,Home & Kitchen,Air Fryer,1,120.18,0.0,120.18,83.65,36.53,Debit Card,Online,Completed
ORD-009560,2023-01-05,CUST-01978,Justin Arnold,april09@example.net,Home Office,West,Nevada,Rodriguezberg,2021-03-04,PROD-007,Clothing,Men's T-Shirt,1,24.02,0.1,21.62,12.52,9.1,Debit Card,Online,Completed
ORD-009616,2023-01-05,CUST-00875,Tracy Taylor,kevincollins@example.org,Corporate,West,Oregon,Hansonborough,2020-01-11,PROD-004,Home & Kitchen,Coffee Maker,1,90.33,0.0,90.33,64.79,25.54,Debit Card,Online,Completed
ORD-009620,2023-01-05,CUST-02197,Antonio Atkins,bwilliams@example.com,Corporate,Midwest,Illinois,New Amy,2021-10-28,PROD-008,Clothing,Women's Jeans,1,61.21,0.05,58.15,41.6,16.55,Credit Card,Online,Completed
ORD-000282,2023-01-06,CUST-00065,Raymond Mullins,darlenebyrd@example.org,Consumer,Northeast,Pennsylvania,New Debramouth,2021-08-16,PROD-002,Electronics,Smartphone,1,726.72,0.1,654.05,367.58,286.47,Credit Card,Online,Completed
ORD-000668,2023-01-06,CUST-00180,Matthew Bush,devonrogers@example.net,Consumer,South,Florida,Lake Timothyshire,2021-07-03,PROD-013,Sports & Outdoors,Water Bottle,2,20.45,0.0,40.9,28.74,12.16,Credit Card,Online,Completed
ORD-002517,2023-01-06,CUST-02415,Kelly Holder,adam33@example.com,Corporate,Midwest,Michigan,Port Lynnview,2021-09-01,PROD-001,Electronics,Laptop,1,823.93,0.15,700.34,432.93,267.41,Credit Card,Store,Completed
ORD-003473,2023-01-06,CUST-02419,Jimmy Palmer,heidihaas@example.net,Consumer,West,Washington,Aguirreton,2021-01-26,PROD-005,Home & Kitchen,Air Fryer,3,111.24,0.15,283.66,203.32,80.34,Debit Card,Online,Completed
ORD-003572,2023-01-06,CUST-00445,Alan Rivera,whitneybrandy@example.net,Consumer,Midwest,Michigan,New Thomasshire,2022-05-17,PROD-001,Electronics,Laptop,1,813.37,0.0,813.37,581.73,231.64,Credit Card,Online,Completed
ORD-006284,2023-01-06,CUST-01493,Carlos Smith,phopkins@example.net,Consumer,South,Texas,South Christinachester,2022-03-11,PROD-001,Electronics,Laptop,1,887.87,0.05,843.48,553.01,290.47,Credit Card,Online,Completed
ORD-006613,2023-01-06,CUST-02338,Christopher Palmer,rwilliams@example.net,Consumer,Northeast,New York,Davidshire,2022-11-26,PROD-005,Home & Kitchen,Air Fryer,1,124.6,0.15,105.91,67.92,37.99,Debit Card,Store,Completed
ORD-006631,2023-01-06,CUST-01226,Ryan Reid,carterstanley@example.net,Consumer,Northeast,New York,Joshuamouth,2020-08-03,PROD-007,Clothing,Men's T-Shirt,3,25.64,0.2,61.54,51.65,9.89,Gift Card,Store,Completed
ORD-007071,2023-01-06,CUST-02269,Joseph Hall,charles06@example.org,Consumer,West,Oregon,Morsemouth,2020-02-24,PROD-007,Clothing,Men's T-Shirt,5,25.99,0.0,129.95,68.67,61.28,Debit Card,Store,Completed
ORD-008174,2023-01-06,CUST-02194,Shawn Lozano,arobinson@example.net,Consumer,Northeast,New Jersey,Lake Jerry,2022-09-18,PROD-005,Home & Kitchen,Air Fryer,1,124.25,0.15,105.61,63.01,42.6,Debit Card,Online,Completed
ORD-008825,2023-01-06,CUST-02450,Ryan Turner,santoslisa@example.com,Consumer,Northeast,Massachusetts,West Jessicamouth,2022-03-11,PROD-010,Beauty,Skin Care Set,4,49.24,0.0,196.96,121.84,75.12,PayPal,Online,Completed
ORD-000157,2023-01-07,CUST-02111,Nicole Moore,thomascathy@example.com,Consumer,Northeast,New Jersey,East Carlosstad,2021-12-14,PROD-002,Electronics,Smartphone,3,659.13,0.1,1779.65,1213.96,565.69,Credit Card,Online,Completed
ORD-000294,2023-01-07,CUST-00189,Logan Brown,davidzimmerman@example.net,Home Office,West,Washington,East Tylerstad,2021-04-18,PROD-001,Electronics,Laptop,1,816.85,0.15,694.32,419.89,274.43,Credit Card,Online,Completed
ORD-000422,2023-01-07,CUST-01072,Jennifer Kelley,torreskaitlin@example.net,Consumer,West,California,Jasonhaven,2021-05-14,PROD-001,Electronics,Laptop,3,877.64,0.0,2632.92,1377.58,1255.34,Credit Card,Store,Completed
ORD-001239,2023-01-07,CUST-01426,Brad Armstrong,mooneyjeremiah@example.net,Corporate,Northeast,Pennsylvania,Rosariobury,2020-08-24,PROD-001,Electronics,Laptop,1,883.99,0.15,751.39,590.76,160.63,Credit Card,Store,Completed
ORD-001299,2023-01-07,CUST-01350,Tammy Rowe,david59@example.net,Consumer,West,Oregon,Breannafurt,2021-05-14,PROD-008,Clothing,Women's Jeans,1,62.48,0.05,59.36,44.47,14.89,PayPal,Store,Completed
ORD-002334,2023-01-07,CUST-01334,Kevin Bell,williamjones@example.net,Consumer,Northeast,New York,New Jayborough,2022-04-01,PROD-001,Electronics,Laptop,2,877.72,0.1,1579.9,1175.02,404.88,Debit Card,Online,Completed
ORD-004715,2023-01-07,CUST-01110,Donna Wright,mannjonathan@example.net,Consumer,Northeast,Pennsylvania,Smithville,2021-07-14,PROD-006,Home & Kitchen,Desk Lamp,1,36.61,0.15,31.12,24.88,6.24,Debit Card,Store,Completed
ORD-005274,2023-01-07,CUST-01925,Steven Campbell,nfletcher@example.org,Corporate,Midwest,Ohio,West Jennifer,2020-10-17,PROD-009,Clothing,Running Shoes,1,82.55,0.0,82.55,42.0,40.55,Credit Card,Online,Completed
ORD-006141,2023-01-07,CUST-01700,Dr. Morgan Young,jessicacruz@example.com,Consumer,Midwest,Illinois,North Cherylville,2021-01-22,PROD-002,Electronics,Smartphone,1,711.8,0.0,711.8,402.71,309.09,PayPal,Online,Completed
ORD-007238,2023-01-07,CUST-01067,Stephen Jefferson,wjohnson@example.com,Consumer,Midwest,Minnesota,Lake Travis,2021-08-08,PROD-007,Clothing,Men's T-Shirt,1,23.19,0.0,23.19,13.37,9.82,Debit Card,Online,Completed
ORD-007660,2023-01-07,CUST-00854,Russell Vega,kristinclark@example.com,Consumer,Northeast,New Jersey,Richardbury,2022-02-23,PROD-005,Home & Kitchen,Air Fryer,3,119.76,0.1,323.35,184.92,138.43,Debit Card,Store,Completed
ORD-009921,2023-01-07,CUST-00332,Latoya Mooney,aliciajackson@example.org,Consumer,Northeast,New Jersey,North Kevinmouth,2022-07-29,PROD-002,Electronics,Smartphone,1,707.11,0.1,636.4,414.36,222.04,Debit Card,Online,Completed
ORD-000230,2023-01-08,CUST-01403,Amy Smith,christopherbruce@example.net,Consumer,Midwest,Michigan,Arielville,2020-01-02,PROD-001,Electronics,Laptop,1,815.37,0.1,733.83,586.03,147.8,Credit Card,Store,Completed
ORD-001689,2023-01-08,CUST-01467,Michelle Parker,ashleytorres@example.net,Consumer,South,Georgia,Nunezberg,2022-06-21,PROD-006,Home & Kitchen,Desk Lamp,2,39.45,0.0,78.9,50.3,28.6,PayPal,Online,Completed
ORD-002381,2023-01-08,CUST-01520,Timothy Cole,suzanne01@example.net,Consumer,West,Nevada,Stephaniechester,2021-06-05,PROD-009,Clothing,Running Shoes,1,78.01,0.0,78.01,38.76,39.25,Debit Card,Online,Completed
ORD-002618,2023-01-08,CUST-02083,Mary Christian,jeffreygibson@example.com,Consumer,Northeast,New York,East Melissaville,2021-04-20,PROD-010,Beauty,Skin Care Set,1,48.37,0.05,45.95,30.37,15.58,Credit Card,Online,Completed
ORD-003535,2023-01-08,CUST-00626,Jeffrey Bishop,nicole54@example.net,Corporate,Midwest,Illinois,Nelsonmouth,2022-10-13,PROD-007,Clothing,Men's T-Shirt,1,26.12,0.15,22.2,16.44,5.76,Credit Card,Store,Completed
ORD-003567,2023-01-08,CUST-01269,James Miller,ballelizabeth@example.com,Home Office,Northeast,Pennsylvania,Bishopfort,2021-02-23,PROD-010,Beauty,Skin Care Set,1,49.93,0.0,49.93,32.48,17.45,Debit Card,Online,Completed
ORD-004415,2023-01-08,CUST-01419,Roger Norris,larsonkevin@example.net,Consumer,Northeast,New York,Millerton,2020-03-10,PROD-002,Electronics,Smartphone,2,709.34,0.0,1418.68,848.73,569.95,Debit Card,Online,Completed
ORD-004627,2023-01-08,CUST-01540,Shannon Nunez,tonyamercado@example.com,Corporate,Northeast,Pennsylvania,North Dawnview,2021-05-11,PROD-009,Clothing,Running Shoes,2,77.77,0.0,155.54,99.98,55.56,Credit Card,Online,Completed
ORD-004848,2023-01-08,CUST-00913,Robert Price,michael07@example.com,Consumer,South,Florida,Blankenshipland,2022-09-19,PROD-007,Clothing,Men's T-Shirt,2,24.71,0.0,49.42,32.5,16.92,Gift Card,Store,Completed
ORD-006398,2023-01-08,CUST-00196,Raven Hill,michaelstrickland@example.com,Consumer,South,Texas,East Cynthia,2022-09-21,PROD-001,Electronics,Laptop,1,931.42,0.1,838.28,620.75,217.53,Gift Card,Online,Completed
ORD-006737,2023-01-08,CUST-00967,Stephen Johnson,perezjohn@example.com,Consumer,West,California,Vargasbury,2022-07-20,PROD-001,Electronics,Laptop,1,877.46,0.0,877.46,442.9,434.56,Credit Card,Online,Completed
ORD-007568,2023-01-08,CUST-01057,Timothy Austin,frobinson@example.net,Consumer,West,Washington,Port David,2021-12-17,PROD-007,Clothing,Men's T-Shirt,1,26.13,0.0,26.13,17.28,8.85,PayPal,Store,Completed
ORD-007639,2023-01-08,CUST-01326,Cindy Wells,uramirez@example.com,Consumer,West,Oregon,East Mark,2020-04-20,PROD-006,Home & Kitchen,Desk Lamp,1,40.91,0.0,40.91,29.05,11.86,Debit Card,Store,Completed
ORD-008480,2023-01-08,CUST-02095,Alexandra Valdez,michelleperez@example.net,Consumer,Midwest,Illinois,South Jesus,2022-06-04,PROD-009,Clothing,Running Shoes,4,77.0,0.05,292.6,148.15,144.45,PayPal,Online,Completed
